id,shop_id,shop_name,is_mall,is_verified,follower_count,rating_star,rating_count,response_rate,location,total_products,total_sold,shop_url,crawled_at
3020,12029465,LAMII Beauty,0,0,38380,4.945644,20573,89.0,TP. Hồ Chí Minh,784,20810,https://shopee.vn/moon_myphamhanquoc,2026-03-19 13:32:43
3021,72177588,AQUA RICH COSMETIC,0,0,110006,4.895565,84261,86.0,TP. Hồ Chí Minh,717,86469,https://shopee.vn/aquarich_cosmetic,2026-03-19 13:32:44
3022,10464922,myphamkozmetik,0,0,8466,4.799906,16883,73.0,TP. Hồ Chí Minh,948,17808,https://shopee.vn/myphamkozmetik,2026-03-19 13:32:46
3023,20895938,DUDUHOUSE,0,0,309306,4.93639,458125,92.0,Hà Nội,1097,464960,https://shopee.vn/dudushop208,2026-03-19 13:32:48
3024,66673931,Beauty Natural,0,0,16633,4.909685,25555,100.0,Đồng Nai,401,26090,https://shopee.vn/hongthuong999,2026-03-19 13:32:50
3025,14862055,TUYÊN_BMT_BLACK ROUGE ,0,0,12285,4.866466,24259,60.0,Đắk Lắk,1500,25095,https://shopee.vn/tuyenchanel,2026-03-19 13:32:52
3026,94590967,OSUYA MEN,0,0,14599,4.939731,6553,100.0,TP. Hồ Chí Minh,31,6638,https://shopee.vn/osuyam.e.n,2026-03-19 13:32:54
3027,79525635,jane_house,0,0,6111,4.738445,2688,88.0,TP. Hồ Chí Minh,365,2881,https://shopee.vn/jane_house,2026-03-19 13:32:56
3028,95753434,HADA LABO CHÍNH HÃNG,0,0,526521,4.889597,502253,100.0,TP. Hồ Chí Minh,193,515417,https://shopee.vn/hadalabo.officialstore,2026-03-19 13:32:57
3029,93949212,X-men Official Store,0,0,558943,4.888195,336172,96.0,TP. Hồ Chí Minh,93,345008,https://shopee.vn/xmen_officialstore,2026-03-19 13:32:59
3030,12855736,Nhungshop_Hangduc,0,0,5264,4.923565,11510,93.0,Hà Nội,888,11718,https://shopee.vn/nhungshop_myphamduc,2026-03-19 13:33:00
3031,48134129,LP SHOP ^^,0,0,8248,4.916981,20752,67.0,TP. Hồ Chí Minh,101,21179,https://shopee.vn/caudanngoc04,2026-03-19 13:33:01
3032,12359225,Lyncosmeticvn,0,0,64816,4.909272,12519,86.0,Hà Nội,544,12800,https://shopee.vn/lyn_cosmeticvn,2026-03-19 13:33:03
3033,79832071,Đồ Spa ( Thiết Bị Thẩm Mỹ HN ),0,0,56023,4.884631,69493,94.0,Hà Nội,534,71486,https://shopee.vn/mrthet2,2026-03-19 13:33:05
3034,23695413,lala.sg,0,0,158806,4.92849,68525,95.0,TP. Hồ Chí Minh,32,69655,https://shopee.vn/lala.sg,2026-03-19 13:33:06
3035,48843343,Marin Japan Shop,0,0,111865,4.952895,44446,91.0,Hà Nội,200,44928,https://shopee.vn/marinjapanshop,2026-03-19 13:33:08
3036,11860861,Mỹ Phẩm Trang Điểm Kokoming,0,0,53437,4.873379,4901,100.0,Bà Rịa - Vũng Tàu,86,5071,https://shopee.vn/makeupcosmetic.vn,2026-03-19 13:33:10
3037,69116868,NhiAuth,0,0,2374,4.88339,9443,94.0,TP. Hồ Chí Minh,1661,9723,https://shopee.vn/nhiauth,2026-03-19 13:33:12
